"","Pyruvate7a","Pyruvate7b","Pyruvate5a","Pyruvate5b","logFC","logCPM","PValue","FDR_pyr7_vs_pyr5"
"MT0160",21.7080921309521,9.65729270647641,20.144515396155,10.9862939901975,0.0370816085282235,5.18118490186101,1,1
"MT0161",21.7080921309521,19.3145854129528,0,0,-4.0686936455714,4.95759692947398,0.125027473850233,0.876191495173839
"MT0162",21.7080921309521,28.9718781194292,80.5780615846201,54.9314699509875,1.37444443954314,6.07339554702872,0.0963613924017478,0.825473466378609
"MT0163",65.1242763928562,48.2864635323821,30.2167730942326,43.94517596079,-0.594831873194431,6.0751007125482,0.480829069645148,1
"MT0165",293.059243767853,164.173976010099,191.372896263473,164.794409852963,-0.336783807324363,7.80390507809337,0.372560941747742,1
"MT0167",43.4161842619041,19.3145854129528,20.144515396155,21.972587980395,-0.518209020586099,5.54499624630141,0.753951313556068,1
"MT0168",32.5621381964281,48.2864635323821,0,21.972587980395,-1.83710908603422,5.5419838669032,0.109439390656047,0.863436773267604
"MT0171",0,48.2864635323821,20.144515396155,10.9862939901975,-0.632067844658498,5.36818363715466,0.770467363622599,1
"MT0172",10.854046065476,19.3145854129528,10.0722576980775,43.94517596079,0.735529437437472,5.37513501617191,0.739154316441003,1
"MT0173",75.9783224583322,115.887512477717,50.3612884903876,131.83552788237,-0.111241492491173,6.83374241796718,0.879259403151104,1
"MT0175",369.037566226185,415.263586378486,181.300638565395,197.753291823555,-1.05056980857436,8.28675989124497,0.000714363483386464,0.0359628191978802
"MT0176",629.53467179761,676.010489453349,251.806442451938,219.72587980395,-1.46267673696958,8.8646584818587,1.3394663529183e-08,3.51609917641054e-06
"MT0177",293.059243767853,193.145854129528,80.5780615846201,120.849233892173,-1.25829685711008,7.58603373009195,0.00214226338134325,0.0828717676466994
"MT0178",336.475428029757,328.347952020198,231.661927055783,241.698467784345,-0.488073223085629,8.25468926408014,0.124745759849264,0.876191495173839
"MT0179",141.102598851188,212.460439542481,110.794834678853,175.78070384316,-0.326701732113114,7.50028456411501,0.559687039480039,1
"MT0180",466.723980815469,405.606293672009,302.167730942326,230.712173794148,-0.696554175469438,8.54063881909705,0.0155461541610192,0.336058801642835
"MT0181",347.329474095233,357.319830139627,151.083865471163,175.78070384316,-1.10753442457918,8.12455380756308,0.000801167674955856,0.0392572160728369
"MT0182",271.351151636901,453.892757204391,171.228380867318,175.78070384316,-1.07113179085442,8.18187866478685,0.00435725554120169,0.1418249175437
"MT0183",672.950856059514,647.03861133392,412.962565621178,384.520289656913,-0.721790047327993,9.10468199418502,0.00136514482880742,0.0583361307658985
"MT0184",347.329474095233,434.578171791439,181.300638565395,318.602525715728,-0.660940755370191,8.41547854811057,0.0463370766413509,0.589234452100223
"MT0185",97.6864145892843,183.488561423052,60.4335461884651,76.9040579313826,-1.04806368441409,6.98098537673522,0.0518016372971578,0.623240203312085
"MT0186",32.5621381964281,57.9437562388585,40.2890307923101,54.9314699509875,0.0391193503895217,6.07264722852272,1,1
"MT0187",173.664737047617,289.718781194292,191.372896263473,197.753291823555,-0.267543614755544,7.87481839309017,0.556831342383805,1
"MT0188",108.54046065476,96.5729270647641,161.15612316924,109.862939901975,0.413378239989181,7.12770170492661,0.471378716923914,1
"MT0189",119.394506720236,57.9437562388585,70.5058038865426,76.9040579313826,-0.237793891900087,6.66285780246608,0.727931504616302,1
"MT0190",0,48.2864635323821,0,21.972587980395,-1.12588328176062,5.27672226972075,0.579198462189433,1
"MT0191",75.9783224583322,106.230219771241,100.722576980775,76.9040579313826,-0.0416749855827184,6.79632439302263,0.999999999999989,1
"MT0192",141.102598851188,96.5729270647641,70.5058038865426,65.9177639411851,-0.771678515994668,6.83390294306365,0.132753089668227,0.897670111123982
"MT0193",65.1242763928562,57.9437562388585,40.2890307923101,54.9314699509875,-0.366023761943129,6.23212261656998,0.663746967312338,1
"MT0194",32.5621381964281,67.6010489453349,10.0722576980775,43.94517596079,-0.92075868406293,5.89503592076124,0.324499550293762,1
"MT0195",249.643059505949,173.831268716575,191.372896263473,131.83552788237,-0.364846955866168,7.69576899651987,0.329943464576203,1
"MT0196",347.329474095233,270.40419578134,292.095473244248,340.575113696123,0.0390689944190037,8.37790943748107,0.933613633866903,1
"MT0197",32.5621381964281,67.6010489453349,30.2167730942326,54.9314699509875,-0.274041234118379,6.07206023637578,0.814590538052361,1
"MT0198",141.102598851188,86.9156343582877,90.6503192826977,120.849233892173,-0.0968255090128964,7.02176823460295,0.880836856655239,1
"MT0199",86.8323685238083,86.9156343582877,80.5780615846201,98.8766459117776,0.0396093761660005,6.76660378238017,1,1
"MT0200",32.5621381964281,67.6010489453349,70.5058038865426,87.8903519215801,0.612578330389493,6.4170532353421,0.424570225221104,1
"MT0201",119.394506720236,164.173976010099,110.794834678853,142.821821872568,-0.178681798853991,7.27845329827108,0.788822366117321,1
"MT0202",86.8323685238083,96.5729270647641,70.5058038865426,142.821821872568,0.191815294775382,6.90006844015186,0.876643327145706,1
"MT0203",10.854046065476,0,10.0722576980775,43.94517596079,2.10957724190409,5.18467602378707,0.254652976625068,1
"MT0204",0,38.6291708259056,20.144515396155,10.9862939901975,-0.333139318890337,5.27607818898745,0.999999999999998,1
"MT0206",0,9.65729270647641,0,10.9862939901975,0.0321580503459444,4.6950846529921,1,1
"MT0207",0,19.3145854129528,10.0722576980775,32.9588819705925,0.959505432048704,5.1808746013362,0.695941577981768,1
"MT0208",141.102598851188,173.831268716575,171.228380867318,186.766997833358,0.173054191105217,7.56251919647156,0.719806382169402,1
"MT0209",10.854046065476,9.65729270647641,20.144515396155,32.9588819705925,1.25939341273684,5.28179890099056,0.453185091343254,1
"MT0210",10.854046065476,38.6291708259056,10.0722576980775,21.972587980395,-0.653005835930697,5.37124225846482,0.728760462767915,1
"MT0211",86.8323685238083,48.2864635323821,40.2890307923101,65.9177639411851,-0.331065864072131,6.33125168265815,0.677769305805739,1
"MT0212",260.497105571425,212.460439542481,181.300638565395,208.739585813753,-0.272862511867951,7.88343523570294,0.534489113482655,1
"MT0213",65.1242763928562,67.6010489453349,80.5780615846201,43.94517596079,-0.0738304585885559,6.41549738110006,0.999999999999964,1
"MT0214",65.1242763928562,135.20209789067,90.6503192826977,43.94517596079,-0.569792942509707,6.72268915660908,0.417038966754612,1
"MT0215",65.1242763928562,28.9718781194292,30.2167730942326,10.9862939901975,-1.08738302935176,5.76647831594493,0.282283987061618,1
"MT0216",423.307796553565,666.353196746872,412.962565621178,648.191345421653,-0.050676666154436,9.12590887850851,0.931286907332796,1
