"","Glycerol7a","Glycerol7b","Glycerol5a","Glycerol5b","logFC","logCPM","PValue","FDR_gly7_vs_gly5"
"MT0111",8.95395563743596,44.5032171149183,63.739914621659,40.1225313908468,0.856478547108168,5.85463272679286,0.32292039920635,0.976710850910208
"MT0112",125.355378924103,74.1720285248638,114.731846318986,53.496708521129,-0.204040924203959,6.8141813467566,0.87845970983588,1
"MT0113",26.8618669123079,51.9204199674046,76.4878975459907,13.3741771302823,0.172456479840128,5.96412781040205,0.999999999999997,1
"MT0116",313.388447310258,311.522519804428,76.4878975459907,53.496708521129,-2.23751034387613,7.7991030004832,2.76558282504428e-07,2.81536331589508e-05
"MT0117",205.940979661027,74.1720285248638,25.4959658486636,80.2450627816935,-1.36917060760504,6.91498157275085,0.0560647643344345,0.482914758283872
"MT0120",170.125157111283,215.098882722105,127.479829243318,93.6192399119758,-0.801893984797669,7.47111595323927,0.070002881705378,0.522370932771601
"MT0121",8.95395563743596,0,12.7479829243318,13.3741771302823,1.43031533420284,4.79071115546997,1,1
"MT0122",35.8158225497438,37.0860142624319,38.2439487729954,53.496708521129,0.313862340317691,5.91373706899988,0.80370584537056,1
"MT0123",35.8158225497438,14.8344057049728,25.4959658486636,40.1225313908468,0.404955175560437,5.58064007147257,1,1
"MT0124",0,7.41720285248638,12.7479829243318,26.7483542605645,1.97263345240282,4.91765412912831,0.375068826363072,0.988439517996765
"MT0125",35.8158225497438,14.8344057049728,191.219743864977,93.6192399119758,2.4929446166113,6.56208060919822,0.000258381992423021,0.0108307651647438
"MT0125.1",8.95395563743596,7.41720285248638,12.7479829243318,26.7483542605645,1.15350220814223,5.03203914206898,0.375068826363072,0.988439517996765
"MT0126",0,22.2516085574591,25.4959658486636,26.7483542605645,1.02750682755302,5.23490854603227,0.453215327141576,1
"MT0127",8.95395563743596,66.7548256723774,12.7479829243318,26.7483542605645,-0.963465043768246,5.69129818717601,0.473101840098544,1
"MT0128",89.5395563743596,66.7548256723774,76.4878975459907,133.741771302823,0.431091723123972,6.76820455857032,0.516958852189852,1
"MT0129",8.95395563743596,0,63.739914621659,40.1225313908468,3.33244343346821,5.44425244336438,0.021518264464458,0.275002722915878
"MT0130",0,22.2516085574591,101.983863394654,40.1225313908468,2.45059677236018,5.8153122381593,0.0148006332540819,0.233198849007174
"MT0133",89.5395563743596,81.5892313773502,127.479829243318,106.993417042258,0.457894690937285,6.8949089933763,0.418181705772756,1
"MT0134",35.8158225497438,81.5892313773502,76.4878975459907,53.496708521129,0.103866506527456,6.36201754689114,0.999999999999999,1
"MT0135",26.8618669123079,37.0860142624319,50.9919316973272,13.3741771302823,0.00809923592655303,5.71257741275553,1,1
"MT0136",26.8618669123079,44.5032171149183,25.4959658486636,13.3741771302823,-0.858135418708324,5.63019362702846,0.54895230431052,1
"MT0137",232.802846573335,281.853708394482,420.683436502949,307.606073996492,0.493488327149507,8.35127953405801,0.111930067038886,0.669538985181506
"MT0138",8.95395563743596,29.6688114099455,12.7479829243318,13.3741771302823,-0.590148161511205,5.22066405811676,1,1
"MT0139",8.95395563743596,14.8344057049728,50.9919316973272,40.1225313908468,1.80627758443496,5.51387435002691,0.10947179506315,0.669538985181506
"MT0140",0,14.8344057049728,38.2439487729954,0,1.16950356495083,5.02740267668524,0.449120794430052,1
"MT0141",35.8158225497438,44.5032171149183,25.4959658486636,40.1225313908468,-0.303469897224743,5.84016639589823,0.790608046975771,1
"MT0142",71.6316450994876,29.6688114099455,89.2358804703225,80.2450627816935,0.78434291838302,6.39490356063036,0.23657366882896,0.865673627341977
"MT0143",44.7697781871798,29.6688114099455,25.4959658486636,13.3741771302823,-0.858195019486512,5.63632830053565,0.54895230431052,1
"MT0144",8.95395563743596,22.2516085574591,12.7479829243318,26.7483542605645,0.253254861182592,5.22972606265083,1,1
"MT0145",17.9079112748719,22.2516085574591,25.4959658486636,40.1225313908468,0.654000634129337,5.5005530609038,0.75397398416932,1
"MT0147",35.8158225497438,51.9204199674046,25.4959658486636,26.7483542605645,-0.745710014304673,5.83183774463913,0.424131797557751,1
"MT0148",8.95395563743596,29.6688114099455,25.4959658486636,13.3741771302823,-0.0478674850919214,5.31801516532596,1,1
"MT0149",80.5856007369236,89.0064342298365,38.2439487729954,80.2450627816935,-0.526875618608366,6.55570973788628,0.459437615116887,1
"MT0150",89.5395563743596,81.5892313773502,50.9919316973272,66.8708856514113,-0.526975114176271,6.55765794131907,0.458619944843706,1
"MT0151",62.6776894620517,44.5032171149183,50.9919316973272,40.1225313908468,-0.20191514717993,6.12882235887704,1,1
"MT0152",80.5856007369236,51.9204199674046,140.22781216765,93.6192399119758,0.841424219084978,6.7468359731579,0.134286695272347,0.694923914004366
"MT0153",152.217245836411,222.516085574591,216.71570971364,213.986834084516,0.179640102045778,7.7850879201343,0.606375222986431,1
"MT0154",8.95395563743596,22.2516085574591,12.7479829243318,0,-1.1680924825873,5.013482905194,0.625041295817921,1
