"","Glycerol7a","Glycerol7b","Pyruvate5a","Pyruvate5b","logFC","logCPM","PValue","FDR_gly7_vs_pyr5"
"MT0121",11.0213064712225,0,20.6997158191477,32.3990567195411,2.1272098465341,5.17977827057505,0.218803965596538,0.937144677480333
"MT0122",44.0852258848901,46.6506084541583,51.7492895478692,53.9984278659018,0.211275553496751,6.1241989250612,0.999999999999996,1
"MT0123",44.0852258848901,18.6602433816633,51.7492895478692,53.9984278659018,0.776427228085255,5.95851500714276,0.454638926483808,1
"MT0124",0,9.33012169083165,41.3994316382954,53.9984278659018,2.9450324400557,5.54125815778089,0.0215079912905309,0.364735517419887
"MT0125",44.0852258848901,18.6602433816633,113.848437005312,75.5977990122626,1.60903749047181,6.37479002570337,0.0227168367600247,0.376479940122955
"MT0125.1",11.0213064712225,9.33012169083165,20.6997158191477,0,0.057631265749534,4.95363385427818,1,1
"MT0126",0,27.990365072495,41.3994316382954,21.5993711463607,1.00725996911807,5.45368567967612,0.517902783097092,1
"MT0127",11.0213064712225,83.9710952174849,41.3994316382954,32.3990567195411,-0.410930589127592,6.00349517319548,0.83206957232234,1
"MT0128",110.213064712225,83.9710952174849,103.498579095738,161.995283597705,0.45514131041343,7.07500524365507,0.386108610106433,1
"MT0129",11.0213064712225,0,20.6997158191477,21.5993711463607,1.82198923354583,5.07216772580001,0.375047968498864,1
"MT0130",0,27.990365072495,31.0495737287215,21.5993711463607,0.752705943402813,5.36611489668712,0.726604467605148,1
"MT0132",0,9.33012169083165,20.6997158191477,0,0.902766847101099,4.82704084062846,0.999999999999776,1
"MT0133",110.213064712225,102.631338599148,134.54815282446,313.190881622231,1.05971821223656,7.52801179122108,0.0229610330068172,0.377988874232588
"MT0134",44.0852258848901,102.631338599148,93.1487211861646,64.7981134390822,0.067246420749882,6.61060016740048,0.999999999999999,1
"MT0135",33.0639194136676,46.6506084541583,51.7492895478692,97.1971701586233,0.851901707435224,6.27778077593309,0.287339713094032,0.974304363341905
"MT0136",33.0639194136676,55.9807301449899,31.0495737287215,97.1971701586233,0.47554622866855,6.22741908078434,0.690397742861941,1
"MT0137",286.553968251786,354.544624251603,382.944742654232,399.588366207674,0.275344970519824,8.55753734464747,0.311722340665451,1
"MT0138",11.0213064712225,37.3204867633266,31.0495737287215,21.5993711463607,0.061775266524392,5.53558324748948,1,1
"MT0139",11.0213064712225,18.6602433816633,41.3994316382954,43.1987422927215,1.40532853385583,5.61803587033248,0.226661429333827,0.937144677480333
"MT0140",0,18.6602433816633,10.3498579095738,10.7996855731804,0.0576543764397538,4.95164062594261,1,1
